reference_index,net_profit,num_of_trade,code,std_ratio_thres,sma_len,sma_dir,candle_dir,candle_len,cycle,sl,tp
15037,-1391.66,10,GN04_market_price_usd_ohlc_4h_SUI,2.5,10,below,negative,4,15,1,7
7264,-1392.3,11,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,below,negative,4,15,2,7
7265,-1392.3,11,GN02_market_price_usd_ohlc_4h_ETH,2.5,10,below,negative,4,20,2,7
5839,-1392.35,26,GN02_market_price_usd_ohlc_4h_ETH,1.0,10,above,negative,1,15,1,5
5840,-1392.35,26,GN02_market_price_usd_ohlc_4h_ETH,1.0,10,above,negative,1,20,1,5
2058,-1392.41,125,GN01_market_price_usd_ohlc_4h_BTC,2.0,10,below,negative,1,10,1,10
11533,-1394.96,69,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,below,negative,4,15,1,7
11677,-1396.01,305,GN04_market_price_usd_ohlc_4h_SUI,1.0,10,above,positive,1,15,1,7
465,-1396.33,91,GN01_market_price_usd_ohlc_4h_BTC,2.0,20,above,positive,1,10,2,5
3571,-1397.64,12,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,below,negative,4,15,1,10
3565,-1397.64,12,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,below,negative,4,15,1,7
6395,-1398.17,57,GN02_market_price_usd_ohlc_4h_ETH,2.5,20,below,negative,1,20,2,5
2183,-1399.52,18,GN01_market_price_usd_ohlc_4h_BTC,1.0,15,above,negative,1,20,2,10
2177,-1399.52,18,GN01_market_price_usd_ohlc_4h_BTC,1.0,15,above,negative,1,20,2,7
11555,-1400.87,51,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,below,negative,4,20,2,5
12215,-1401.6,8,GN04_market_price_usd_ohlc_4h_SUI,2.0,20,below,positive,1,20,2,10
11539,-1404.11,68,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,below,negative,4,15,1,10
10811,-1405.0,20,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,above,negative,2,20,2,5
6276,-1406.94,55,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,above,negative,1,10,1,7
